"var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","var25","var26","var27","var107","var119","var123","var129","var153","var169","var174","var182","var187","var229","var236","var246","var248","var251","var255","var276","var336","var338","var368","var422","var433","var509","var544","var545","var554","var566","var567","var575","var589","var603","var607","var695","var714","var742","var756","var783","var788","var819","var836","var842","var846","var851","var1003","var1055","var1076"
0.7733437,-2.438405,-0.4825622,-2.721135,-1.217058,0.8278092,1.342604,0.05704174,0.1335689,0.5654274,1.499824,0.3935949,1.625921,0.8181927,0.01054421,-0.5454171,0.1865626,1.26472,-1.046399,0.6916961,0.912363,1.911126,-0.3562465,0.7373554,1.437605,1.488761,0.05363555,-2.611831,-0.3814068,-1.422543,-2.763035,-0.5898688,-2.149006,-3.327018,-0.4261781,-3.426515,-3.036554,0.001199281,1.604747,0.5256157,-0.681614,-1.514582,-1.526016,1.083431,-0.82189,-1.11109,0.3450071,-2.629701,-1.844528,0.9376216,0.7801502,-1.850236,0.03459464,-1.23512,0.2814125,-0.8889188,-3.013896,-0.8744293,-1.584745,-3.009831,0.7311171,-1.047254,-2.526979,0.8407047,-2.108664,-1.869505,1.553629,-3.803169,-0.1328459,-3.231455,-2.529486,-3.199073
-0.07817778,-2.415754,0.4127717,-2.825146,-0.6262365,0.05448819,1.429498,-0.1202486,0.4567917,0.1590529,1.145909,0.3806942,1.556522,0.008166563,0.1587117,-0.2741737,0.3254113,1.647774,-1.299016,1.249787,0.5489881,1.698236,-0.8365558,-0.117883,1.620022,1.091252,-0.4447258,0.8554786,-1.791559,-1.859824,-2.264326,0.1202688,-2.617296,-2.818423,-0.8689302,-2.361274,-2.329956,-2.72418,0.7924947,0.8172657,-0.732096,-1.701005,-1.883875,0.8409636,-1.275827,-0.5651058,0.717791,-2.362335,-1.699363,0.2367308,1.072679,-1.598004,-1.240983,-0.5573933,-0.3858096,-0.836325,-1.36375,-0.0885034,-1.360237,-2.343407,0.3808308,-0.4555486,-2.234926,0.5046466,-3.272804,-0.427404,1.732505,-3.083471,0.2616717,-2.294617,-2.094758,-1.389499
-0.08446916,-1.649739,-0.2413075,-2.875286,-0.8894054,-0.02747398,1.1593,0.01567648,0.1919418,0.4965847,1.388741,-0.5306883,1.614903,-0.2080087,0.07927318,-0.5373407,0.004390348,1.472311,-0.9043622,0.693697,0.3204154,1.571881,-1.093326,0.532861,1.503455,1.503388,-0.1307923,-0.3792127,-2.348629,-2.116106,-2.050271,-0.5124937,-0.1920083,-3.055482,-0.853316,-2.259526,-2.014403,-2.006191,1.552741,0.2816388,-1.355571,-1.256319,-1.375552,0.574251,-1.779633,-0.3831656,0.1238976,-2.727233,-1.478848,-1.042705,1.334238,-1.689564,1.014651,-0.9980432,-1.057854,-0.5610668,-0.9281103,-0.5679252,-1.485894,-2.192834,-0.2871489,-0.5487006,-1.278337,0.2652064,-2.7678,-0.5600159,1.454747,-2.285728,1.327261,-2.154165,-1.205641,-0.8879463
0.965614,-2.380547,0.6252965,-1.741256,-0.8453664,0.9496868,1.093801,0.8197358,-0.2846201,0.9947322,1.014832,0.08250122,1.0476,0.9720281,-0.1707883,-0.0438474,-0.4254127,0.4528575,-0.680231,0.3938648,0.7147619,1.115732,0.2871319,0.5723346,0.928575,1.069836,0.3162695,-0.1529181,-0.1586441,-1.104127,-2.259526,-0.520876,-2.440698,-1.448595,-0.1414484,-2.271086,-1.278337,-0.1416788,1.135844,0.2505252,-1.226218,-1.657578,-1.458865,0.7718197,-0.771974,-0.6969544,0.191529,-2.626931,-1.197991,0.07008561,0.9006084,-1.704848,0.04707441,-0.1432932,-0.0983849,-0.3069329,0.07612736,0.1671233,-0.8601467,-2.196425,-0.8278221,-0.1110433,-1.601966,0.7242097,-0.9197969,-0.9413522,1.037233,-1.082345,-0.04134296,-2.219163,-2.26915,-0.6485563
0.0756639,-1.728785,0.8526265,0.2726953,-1.84137,0.3279359,1.251219,0.7714499,0.0309171,0.2783133,1.112219,-0.3936354,1.186776,0.4180522,-0.3865452,0.086728,0.1375857,1.147402,1.203483,0.6311654,0.5522746,1.222392,-1.602462,0.995804,0.7010161,1.129562,0.788321,0.4368346,-1.206309,-0.674718,-1.590616,-0.8123813,0.06259914,-2.248097,-0.04134296,-2.000261,-1.729348,0.3985076,1.259143,0.0475513,0.08837711,-2.291645,0.02371653,1.164868,-0.7752253,0.2363361,-0.1098149,-1.961836,-1.974001,1.077525,1.190553,-1.187444,-0.4495737,-0.4111311,-0.2160438,-0.8763491,-1.219763,0.4918874,-1.438852,-2.179483,-0.1772146,0.1710078,-0.5684547,0.3038015,-0.4663304,-1.322006,0.7275969,-1.577455,-0.2827609,-1.539912,-0.9902064,-0.7264972
0.4588163,-2.875286,0.1358412,0.4053984,-2.082647,0.1378471,1.73353,0.3964244,0.04583342,0.3520643,1.694514,-0.3776068,1.825613,0.3449363,-0.3969019,-0.7476034,0.03652477,0.3312443,0.3256279,-0.9929018,-0.1103731,1.777999,-1.611941,1.43537,1.010946,1.61329,-0.6416939,1.687565,-1.634243,-2.049494,-1.806061,0.1370627,-1.324635,-1.872753,-1.514128,-2.877061,-1.045261,0.9450337,1.799992,-0.3159444,-0.2749633,-1.348613,-0.06059962,0.4045313,-1.225196,-0.859438,0.09712671,-2.339249,-2.438405,0.7713574,1.909409,-1.777265,1.591763,-0.2817,-0.8166717,-0.560191,-2.281803,0.06952606,-1.690648,-3.015935,-0.1532677,0.1299751,-1.892464,-0.5579172,-0.9051035,-2.019664,0.294608,-2.118598,0.06663008,-1.576487,-2.174192,0.02790695
0.06709774,-1.624044,0.5196268,0.2382292,-1.397558,0.138805,1.825291,-0.3054388,-0.05287349,-1.242367,1.830852,-1.347074,1.268243,-0.3319823,-0.2240189,-0.1468772,0.5721653,0.6969898,0.646108,-1.422129,-0.6661158,1.786747,-3.172469,1.671473,-0.3874287,1.050367,-1.189084,-0.2368622,-0.2497442,-1.101115,-2.036382,-0.3946735,-1.682009,-2.117767,-0.7704603,-3.068303,-1.828216,-0.6707988,1.705112,-0.2646168,-0.9915532,-2.130314,0.5875644,1.671511,-2.116106,0.2338065,-0.05625294,-1.680397,-2.015153,0.875052,2.00279,-1.993631,0.469566,0.7763388,-1.182211,-1.010876,-2.02647,0.9991234,-1.312301,-1.65026,0.4154814,0.4512667,-1.592581,-0.2587707,-0.4111311,-1.285544,0.8826926,-1.702102,-0.3441819,-1.835085,-0.2060406,-1.541779
0.09412766,-1.795165,0.7027509,0.2060381,-1.868209,0.2881819,1.406072,0.7603384,-0.03905273,0.1361031,1.300028,-0.4194626,1.390834,0.2985478,-0.3762947,0.05401459,0.1655992,1.287082,1.238316,0.5638923,0.524255,1.463857,-1.652345,1.195679,0.5969116,1.345811,0.7361109,0.4045981,-1.302689,-0.7023898,-1.641445,-0.876109,-0.06913574,-2.273026,-0.068493,-2.106196,-1.833832,0.3067491,1.490587,-0.03035612,0.008067371,-2.161086,-0.0762333,1.338679,-0.8175773,0.1322556,-0.1262437,-2.046394,-2.051048,1.171119,1.204413,-1.250017,-0.5421443,-0.4601325,-0.2502578,-0.9162907,-1.308223,0.4314577,-1.499687,-2.265289,-0.210721,0.2279321,-0.6616485,0.1991787,-0.5118261,-1.40854,0.7069021,-1.623537,-0.3053031,-1.607939,-1.033949,-0.7563
0.1083161,-1.944911,0.6000994,-0.05108279,-1.981952,0.1192042,1.849116,0.2375197,-0.05034637,-0.2527011,1.735965,-1.470546,1.129044,-0.02932583,-0.244878,0.2120422,0.2102609,1.15092,1.012001,-1.013904,0.2587423,1.857173,-2.143873,1.773358,-0.148268,1.603078,0.295799,-0.511159,-0.9175415,-1.666008,-2.338212,-0.6156307,1.341245,-2.950759,-0.5549517,-2.868219,-0.8850343,-1.29975,1.002175,-0.514499,-0.7180548,-3.123566,-0.3326794,1.759099,-1.726534,-0.5317088,-0.001801622,-2.882404,-2.250942,1.523771,1.134044,-1.250366,-0.5436932,0.2736085,-1.255617,-1.505528,-2.565249,0.8753437,-1.86111,-2.446455,-0.08045112,0.1310283,-2.217325,-0.9964168,-0.8481649,-2.260484,0.9130856,-1.195674,-0.1381133,-2.034851,-0.2568296,-1.667597
-0.970747,-2.347582,-0.3920061,-0.141218,-1.82325,-0.3035405,1.498551,-0.2064094,0.1447927,-1.572142,1.582128,-0.8739499,1.457126,-0.0806679,-0.1612256,0.5727294,0.7776262,1.543213,1.163963,0.1978668,0.6854678,1.601748,-1.665479,1.451239,0.3948759,1.438911,0.8872738,0.3180173,-0.3592497,-2.016655,-1.536652,-1.855338,-1.169893,-2.898606,-0.5450721,-2.312635,-1.859182,-1.728785,0.7878208,-0.2556667,-0.4478508,-1.88783,-0.3543918,1.147085,-1.587676,-0.4944603,0.4541918,-2.99974,-1.658628,0.5270336,1.7154,-1.410177,-1.177006,-0.323793,-0.7293963,-1.712579,-1.29244,0.1185827,-1.942117,-1.743541,0.5140803,0.08562709,-0.4402118,-0.937259,-2.304587,-1.711471,0.8567955,-2.275943,-0.8561368,-1.633731,-2.787093,-1.656006
